2025-11-01 19:16:48,989 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:16:51,615 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:16:54,249 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:16:56,867 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:16:59,501 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:17:02,134 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:17:04,763 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:17:07,420 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:17:10,040 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:17:12,673 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:17:15,293 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:17:17,940 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:17:21,179 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:17:23,223 - ERROR - Request failed (attempt 1/5): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-11-01 19:17:26,484 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:17:29,372 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:17:34,151 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:17:37,440 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:17:40,370 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:17:43,776 - INFO - Starting fetch for project: HADOOP
2025-11-01 19:17:45,135 - INFO - Fetched 50 issues from HADOOP (startAt=0)
2025-11-01 19:17:48,319 - INFO - Fetched 50 issues from HADOOP (startAt=50)
2025-11-01 19:17:50,322 - INFO - Completed fetch for project HADOOP. Total issues: 100
2025-11-01 19:19:07,990 - INFO - Starting fetch for project: HADOOP
2025-11-01 19:19:08,003 - INFO - Completed fetch for project HADOOP. Total issues: 0
